j,v1,v2,v3,time
0,0.0619867,0.0609796,1.99697,0.0010376
2,0.0599725,0.0619867,1.93196,0.00292969
4,0.0579583,0.0569512,1.87496,0.00473022
6,0.0559945,0.0549874,1.81796,0.00653076
8,0.0539803,0.0539803,1.76498,0.00833129
10,0.0519661,0.0499519,1.71397,0.0101623
12,0.050959,0.050959,1.66297,0.0119934
14,0.0479881,0.0499519,1.61397,0.0138245
16,0.0479881,0.0489952,1.56598,0.015625
18,0.0459739,0.0459739,1.52298,0.017456
20,0.0449668,0.0439597,1.47796,0.0192871
22,0.0449668,0.0429526,1.43597,0.0210876
24,0.0429526,0.0439597,1.39296,0.0229187
26,0.0429526,0.0419959,1.35298,0.0247192
28,0.0399817,0.0409888,1.31396,0.0265198
30,0.0399817,0.0389746,1.277,0.0283203
32,0.0379675,0.0389746,1.24099,0.0301514
34,0.0369604,0.0359533,1.20499,0.0319824
36,0.0349965,0.0359533,1.17296,0.0337829
38,0.0359533,0.0349965,1.13797,0.035614
40,0.0339894,0.0349965,1.10599,0.0374145
42,0.0339894,0.0329823,1.07296,0.0392151
44,0.0329823,0.0329823,1.043,0.0410461
46,0.0319753,0.0309682,1.01495,0.0428467
48,0.0299611,0.0299611,0.985996,0.0446472
50,0.0299611,0.028954,0.955985,0.0464783
52,0.0299611,0.0279972,0.929951,0.0482788
54,0.0279972,0.0279972,0.904975,0.0500793
56,0.0269901,0.0279972,0.878992,0.0519104
58,0.0279972,0.0269901,0.854973,0.0537109
60,0.025983,0.028954,0.831961,0.0555115
62,0.025983,0.024976,0.805978,0.0573425
64,0.0239689,0.0239689,0.78498,0.0591431
66,0.0229618,0.0239689,0.761968,0.0609741
68,0.0239689,0.0219547,0.739963,0.0628051
70,0.0239689,0.0219547,0.720979,0.0646057
72,0.0219547,0.0219547,0.700988,0.0664368
74,0.0209979,0.0209979,0.681954,0.0682373
76,0.0219547,0.0209979,0.661963,0.0700378
78,0.0199908,0.0209979,0.641973,0.0718689
80,0.0189837,0.0189837,0.62596,0.0736694
82,0.0189837,0.0189837,0.607983,0.0755005
84,0.0189837,0.0199908,0.592978,0.077301
86,0.0199908,0.0169695,0.576965,0.0791016
88,0.0169695,0.0179766,0.560952,0.0809326
90,0.0169695,0.0209979,0.546953,0.0827332
92,0.0209979,0.0149554,0.530991,0.0845642
94,0.0159625,0.0159625,0.516992,0.0863647
96,0.0159625,0.0149554,0.502994,0.0881958
98,0.0149554,0.0149554,0.488995,0.0899963
100,0.0149554,0.0139986,0.475953,0.0917969
102,0.0139986,0.0139986,0.460998,0.0936279
104,0.0139986,0.0139986,0.451984,0.0954285
106,0.0129915,0.0129915,0.438993,0.097229
108,0.0129915,0.0139986,0.434964,0.09906
110,0.0129915,0.0129915,0.415981,0.100891
112,0.0119844,0.0129915,0.404953,0.102692
114,0.0129915,0.0109773,0.390954,0.10495
116,0.0119844,0.0119844,0.379977,0.106781
118,0.0119844,0.0119844,0.369956,0.108582
120,0.0109773,0.0119844,0.359986,0.110382
122,0.00896315,0.0109773,0.35198,0.112213
124,0.0109773,0.0109773,0.341959,0.114014
126,0.00997024,0.0109773,0.335967,0.115845
128,0.0109773,0.0109773,0.322975,0.117645
130,0.00997024,0.0109773,0.312955,0.119476
132,0.00896315,0.00997024,0.302984,0.121307
134,0.00997024,0.00896315,0.298956,0.123108
136,0.0119844,0.00896315,0.289993,0.124939
138,0.00896315,0.00795605,0.281987,0.12674
140,0.00896315,0.00896315,0.275994,0.128571
142,0.00896315,0.00795605,0.266981,0.130432
144,0.00896315,0.00896315,0.258974,0.132385
146,0.00795605,0.00896315,0.252982,0.134186
148,0.00599222,0.00795605,0.24699,0.136017
150,0.00795605,0.00795605,0.240998,0.137817
152,0.00699931,0.00795605,0.234955,0.139618
154,0.00795605,0.00599222,0.226999,0.141449
156,0.00699931,0.00896315,0.22,0.143951
158,0.00599222,0.00896315,0.213957,0.145782
160,0.00699931,0.00795605,0.208972,0.147614
162,0.0129915,0.00699931,0.201973,0.149414
164,0.00699931,0.00699931,0.198952,0.151245
166,0.00599222,0.00599222,0.191952,0.153046
168,0.00599222,0.00498512,0.186967,0.154877
170,0.00699931,0.00599222,0.180975,0.157349
172,0.00498512,0.00599222,0.17599,0.15921
174,0.00699931,0.00599222,0.167983,0.161713
176,0.00397803,0.00397803,0.163955,0.164368
178,0.00498512,0.00599222,0.15897,0.166229
180,0.00498512,0.00498512,0.154992,0.16803
182,0.00498512,0.00498512,0.149956,0.169861
184,0.00498512,0.00297093,0.145978,0.171661
186,0.00599222,0.00795605,0.14195,0.173492
188,0.00498512,0.00599222,0.139986,0.175323
190,0.00498512,0.00498512,0.135958,0.177124
192,0.00297093,0.00297093,0.13198,0.178955
194,0.00599222,0.00498512,0.128958,0.180756
196,0.00397803,0.00498512,0.12498,0.182587
198,0.00397803,0.00498512,0.123973,0.184418
200,0.00498512,0.00397803,0.118988,0.186218
202,0.00498512,0.00397803,0.116974,0.188049
204,0.00297093,0.00397803,0.111989,0.18985
206,0.00397803,0.00397803,0.110982,0.191681
208,0.00498512,0.00297093,0.107961,0.193481
210,0.00297093,0.00397803,0.10499,0.195313
212,0.00397803,0.00297093,0.103983,0.197144
214,0.00397803,0.00297093,0.0999542,0.198944
216,0.00297093,0.00397803,0.0969832,0.200775
218,0.00297093,0.00397803,0.094969,0.202606
220,0.00297093,0.00196384,0.0929548,0.204407
222,0.00397803,0.00397803,0.090991,0.206238
224,0.00297093,0.00196384,0.0899839,0.208038
226,0.00297093,0.00599222,0.0869626,0.209869
228,0.00397803,0.00397803,0.0849988,0.21167
230,0.00297093,0.00297093,0.0809704,0.213501
232,0.00196384,0.00297093,0.0819775,0.215301
234,0.00297093,0.00196384,0.0779995,0.217133
236,0.00397803,0.00196384,0.0759853,0.218933
238,0.00196384,0.00095674,0.072964,0.220764
240,0.00095674,0.00196384,0.0709498,0.222595
242,0.00196384,0.00196384,0.0709498,0.224396
244,0.00095674,0.00196384,0.0659647,0.226227
246,0.00095674,0.00095674,0.0669718,0.228027
248,0.00095674,0.00095674,0.0659647,0.229858
250,0.00095674,0.00196384,0.0619867,0.231659
252,0.00095674,0.00196384,0.0629938,0.23349
254,0.00196384,0.00196384,0.0609796,0.235291
