j,vdac,v1,v2,time
0,0.0,0.094969,0.0619867,0.399811
5,0.0646555,0.136965,0.0619867,0.801941
10,0.129361,0.192959,0.090991,1.20517
15,0.194067,0.250968,0.127951,1.60788
20,0.258773,0.30797,0.167983,2.01047
25,0.323479,0.369,0.207965,2.41302
30,0.388185,0.427965,0.244976,2.81461
35,0.45289,0.491966,0.28395,3.21716
40,0.517596,0.549974,0.331989,3.61972
45,0.582302,0.607983,0.367993,4.02228
50,0.647008,0.66997,0.406967,4.42484
55,0.711714,0.725964,0.443978,4.82745
60,0.77642,0.787951,0.482952,5.22998
65,0.841126,0.840975,0.522984,5.63254
70,0.905832,0.901954,0.558988,6.07468
75,0.970537,0.955985,0.597963,6.47775
80,1.03524,1.02099,0.636987,6.88007
85,1.09995,1.07895,0.677976,7.28262
90,1.16465,1.13897,0.714987,7.68515
95,1.22936,1.199,0.754969,8.08774
100,1.29407,1.26698,0.79495,8.49026
105,1.35877,1.32498,0.83896,8.89282
110,1.42348,1.38496,0.877985,9.29538
115,1.48818,1.44297,0.917967,9.69794
120,1.55289,1.50198,0.954978,10.1005
125,1.6176,1.56195,0.997981,10.503
130,1.6823,1.64197,1.036,10.9057
135,1.74706,1.72198,1.09295,11.3082
140,1.81171,1.76398,1.13998,11.7961
145,1.87642,1.82098,1.17095,12.1992
150,1.94112,1.87798,1.20897,12.6025
155,2.00588,1.94999,1.249,13.005
160,2.07054,1.994,1.29497,13.4075
165,2.13524,2.05699,1.327,13.8101
170,2.19995,2.11696,1.36995,14.2126
175,2.2647,2.18796,1.40797,14.6151
180,2.32936,2.23197,1.45399,15.0176
185,2.39407,2.28898,1.48496,15.4201
190,2.45877,2.33596,1.52298,15.8227
195,2.52353,2.41597,1.56195,16.2252
200,2.58818,2.46597,1.60395,16.6277
205,2.65289,2.52499,1.64096,17.0303
210,2.7176,2.58698,1.67596,17.4766
215,2.78235,2.66296,1.71397,17.8798
220,2.84701,2.66996,1.76,18.283
225,2.91171,2.66996,1.78996,18.6859
230,2.97642,2.66996,1.83397,19.0884
235,3.04117,2.66996,1.87098,19.4909
240,3.10583,2.66996,1.91398,19.8934
245,3.17054,2.66996,1.94097,20.296
250,3.23524,2.66996,1.97597,20.6985
